Name,Price,Stores,Rating,Votes,Type,Connection,Switches
Motospeed CK101 Black (Outemu Red),39.0,7,4.0,22,Keyboard Only,USB,Outemu Red
Motospeed CK101 White (Outemu Blue),39.6,7,4.0,22,Keyboard Only,USB,Outemu Blue
Motospeed CK101 White (Outemu Red),40.0,6,4.0,22,Keyboard Only,USB,Outemu Red
Motospeed CK103 Black (Outemu Blue),41.7,9,4.8,45,Keyboard Only,USB,Outemu Blue
Motospeed CK103 Black (Outemu Red),39.49,12,4.8,45,Keyboard Only,USB,Outemu Red
Motospeed CK103 Side Laser (Outemu Blue),54.85,6,5.0,2,Keyboard Only,USB,Outemu Blue
Motospeed CK103 Side Laser (Outemu Red),52.04,6,5.0,2,Keyboard Only,USB,Outemu Red
Motospeed CK103 White (Outemu Blue),43.81,9,4.8,45,Keyboard Only,USB,Outemu Blue
Motospeed CK104 Orion Special Edition Red (Outemu Red),37.0,5,4.9,13,Keyboard Only,USB,Outemu Red
Motospeed CK104 Orion Special Edition RGB Silver (Outemu Blue),37.3,5,5.0,3,Keyboard Only,USB,Outemu Blue
Motospeed CK104 Orion Special Edition RGB Silver (Outemu Red),37.3,6,5.0,3,Keyboard Only,USB,Outemu Red
Motospeed CK108 (Outemu Black),36.7,19,4.6,172,Keyboard Only,USB,Outemu Black
Motospeed CK108 (Outemu Blue),39.98,22,4.6,172,Keyboard Only,USB,Outemu Blue
Motospeed CK108 (Outemu Red),38.77,15,4.6,172,Keyboard Only,USB,Outemu Red
Motospeed CK61 (Kailh Short),59.9,0,4.4,28,Keyboard Only,USB,Kailh Short
Motospeed CK61 (Outemu Blue),41.69,5,4.4,28,Keyboard Only,USB,Outemu Blue
Motospeed CK61 (Outemu Red),41.69,9,4.4,28,Keyboard Only,USB,Outemu Red
Motospeed CK62 RGB Black (Outemu Blue),44.38,15,4.4,27,Keyboard Only,USB / Bluetooth,Outemu Blue
Motospeed CK62 RGB Black (Outemu Red),50.37,8,4.4,27,Keyboard Only,USB / Bluetooth,Outemu Red
Motospeed CK62 RGB White (Outemu Blue),40.0,6,4.4,27,Keyboard Only,USB / Bluetooth,Outemu Blue
Motospeed CK62 RGB White (Outemu Red),46.0,0,4.4,27,Keyboard Only,USB / Bluetooth,Outemu Red
Motospeed CK666,42.19,10,3.8,18,Keyboard Only,USB,Outemu Blue
Motospeed CK700 Pink (Zeus Optical),54.64,2,0.0,0,Keyboard Only,USB,Zeus Optical
Motospeed CK80 (Custom Silver),58.9,0,5.0,2,Keyboard Only,USB,Kalih BOX Silver
Motospeed CK80 Black (Custom Gold),57.02,3,5.0,2,Keyboard Only,USB,Kalih BOX Gold
Motospeed CK80 Silver (Custom Gold),49.0,6,5.0,2,Keyboard Only,USB,Kalih BOX Gold
Motospeed CK80 Silver (Silver Switches),55.0,10,5.0,2,Keyboard Only,USB,Kalih BOX Silver
Motospeed CK87s White (Outemu Red),53.0,0,5.0,2,Keyboard Only,USB,Outemu Red
Motospeed CK88 (Outemu Black),58.3,6,4.0,1,Keyboard Only,USB,Outemu Black
Motospeed CK88 (Outemu Blue),58.7,5,4.0,1,Keyboard Only,USB,Outemu Blue
Motospeed CK88 (Outemu Red),79.47,0,4.0,1,Keyboard Only,USB,Outemu Red
Motospeed CK888 (Outemu Green),46.7,5,4.4,82,Keyboard Only,USB,Outemu Green
Motospeed CK888 (Outemu Red),47.99,4,4.4,82,Keyboard Only,USB,Outemu Red
Motospeed CK888 Silver (Outemu Blue),46.7,9,4.4,82,Keyboard Only,USB,Outemu Blue
Motospeed CK89 Black (Kaili Box White),61.52,7,5.0,2,Keyboard Only,USB,Kailh Box White
Motospeed CK89 Pink (Kaili Box White),70.24,2,5.0,2,Keyboard Only,USB,Kailh Box White
Motospeed CK94,59.26,9,3.0,1,Keyboard Only,USB,Kailh Short
Motospeed CK95,37.0,2,4.2,5,Keyboard Only,USB,Outemu Blue
Motospeed CK98,69.08,9,5.0,3,Keyboard Only,USB,Kailh Box White
Motospeed CK99 RGB (Cherry MX Red),75.34,9,5.0,1,Keyboard Only,USB,Cherry MX Red
Motospeed CK99 RGB (LK Libra Orange),55.33,5,5.0,1,Keyboard Only,USB,LK Libra Orange
Motospeed CK99 RGB (Outemu Blue),57.89,7,5.0,1,Keyboard Only,USB,Outemu Blue
Motospeed GK81 (Custom Blue),62.9,0,0.0,0,Keyboard Only,USB,Kalih Blue
Motospeed GK82 (Outemu Black),46.24,4,5.0,4,Keyboard Only,USB,Outemu Black
Motospeed GK82 (Outemu Brown),47.0,2,5.0,4,Keyboard Only,USB,Outemu Brown
Motospeed GK82 Pink (Outemu Blue),45.0,5,5.0,4,Keyboard Only,USB,Outemu Blue
Motospeed GK82 Pink (Outemu Red),45.0,5,5.0,4,Keyboard Only,USB,Outemu Red
Motospeed GK89 (Outemu Blue),53.61,3,4.0,1,Keyboard Only,USB,Outemu Blue
Motospeed GK89 Black (Outemu Black),45.0,6,4.0,1,Keyboard Only,USB,Outemu Black
Motospeed Inflictor CK104 RGB Red (Outemu Black),33.1,9,4.7,914,Keyboard Only,USB,Outemu Black
Motospeed Inflictor CK104 RGB Red (Outemu Blue),31.49,18,4.7,914,Keyboard Only,USB,Outemu Blue
Motospeed Inflictor CK104 RGB Red (Outemu Brown),35.89,7,4.7,914,Keyboard Only,USB,Outemu Brown
Motospeed Inflictor CK104 RGB Red (Outemu Red),31.71,13,4.7,914,Keyboard Only,USB,Outemu Red
Motospeed Inflictor CK104 RGB Silver (Outemu Black),35.02,12,4.7,914,Keyboard Only,USB,Outemu Black
Motospeed Inflictor CK104 RGB Silver (Outemu Blue),35.38,17,4.7,914,Keyboard Only,USB,Outemu Blue
Motospeed Inflictor CK104 RGB Silver (Outemu Brown),35.22,11,4.7,914,Keyboard Only,USB,Outemu Brown
Motospeed Inflictor CK104 Silver (Outemu Red),36.83,13,4.7,914,Keyboard Only,USB,Outemu Red
Motospeed Κ23,19.9,2,4.0,3,Keyboard Only,USB,Kailh Box White
Motospeed K22 (Outemu Blue),16.69,8,0.0,0,Keyboard Only,USB,Outemu Blue
Motospeed K24,19.0,0,5.0,1,Keyboard Only,USB,Outemu Blue
Motospeed K27 (Outemu Blue),20.64,3,4.7,7,Keyboard Only,USB,Outemu Blue
Motospeed K27 (Outemu Red),20.64,6,4.7,7,Keyboard Only,USB,Outemu Red
Motospeed K82 Black (Outemu Blue),38.3,14,4.8,12,Keyboard Only,USB,Outemu Blue
Motospeed K82 Black (Outemu Red),37.97,7,4.8,12,Keyboard Only,USB,Outemu Red
Motospeed K82 Pink (Outemu Blue),43.66,12,4.8,12,Keyboard Only,USB,Outemu Blue
Motospeed K82 Pink (Outemu Red),44.0,5,4.8,12,Keyboard Only,USB,Outemu Red
Motospeed K83 (Outemu Blue),33.52,11,3.7,29,Keyboard Only,USB,Outemu Blue
Motospeed K83 (Outemu Red),32.68,11,3.7,29,Keyboard Only,USB,Outemu Red
Motospeed K87S White (Kailh Blue),48.04,8,4.7,26,Keyboard Only,USB,Kailh Blue
Motospeed K87S White (Kailh Red),47.75,7,4.7,26,Keyboard Only,USB,Kailh Red
Motospeed K95 (Outemu Black),29.79,3,4.1,7,Keyboard Only,USB,Outemu Black
Motospeed K95 (Outemu Blue),29.79,11,4.1,7,Keyboard Only,USB,Outemu Blue
